(여자)권사,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160102/239071/MOV000248640_700X466.webm
"(여자를)유혹, 유혹하다",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221014/1040301/MOV000360703_700X466.webm
(영어지문자)시,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220801/1005057/MOV000359785_700X466.webm
"(온도를)내리다,(온도가)내려가다",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200901/739238/MOV000251856_700X466.webm
(음식에 간을)맞추다,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151123/215389/MOV000236876_700X466.webm
(음식의)장,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201229/792740/MOV000357963_700X466.webm
(이가)빠지다,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009755/MOV000360052_700X466.webm
(입을)닫다,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735726/MOV000241944_700X466.webm
(자동차에)승차,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/256882/MOV000267260_700X466.webm
(조직의)장,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200811/727698/MOV000258610_700X466.webm
(존재가)없다,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735142/MOV000245552_700X466.webm
(지역)공주,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221014/1039981/MOV000360525_700X466.webm
(책)사전,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191018/628659/MOV000254224_700X466.webm
(총을 쏘는)사수,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733385/MOV000243046_700X466.webm
(총을 쏘는)사수,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733039/MOV000244690_700X466.webm
(칭호)공주,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220729/1003091/MOV000359571_700X466.webm
(타악기)북,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/734957/MOV000254625_700X466.webm
(택배)배달원,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732071/MOV000239223_700X466.webm
(풀을)베다,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735674/MOV000259671_700X466.webm
(한)시,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220801/1004597/MOV000359677_700X466.webm
(혈액의)순환,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201211/785381/MOV000357042_700X466.webm
(화학)실험,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220801/1004600/MOV000359680_700X466.webm
(활을 쏘는)사수,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733067/MOV000242208_700X466.webm
1층,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221018/1041835/MOV000360891_700X466.webm
ㄱ,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005695/MOV000359820_700X466.webm
"가꾸다,기르다,배양,양성,양육,육성,키우다",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630742/MOV000249360_700X466.webm
가나,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239437/MOV000249366_700X466.webm
"가난,곤궁,궁핍,빈곤",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733641/MOV000249370_700X466.webm
가난뱅이,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733035/MOV000243764_700X466.webm
가느다랗다,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735127/MOV000260291_700X466.webm
가늘다,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733615/MOV000249482_700X466.webm
"가능,할 수 있다",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764392/MOV000249484_700X466.webm
가다,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/632050/MOV000249486_700X466.webm
"가담,들어가다,참가,참석,참여,출석,진출",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191031/632950/MOV000249490_700X466.webm
가동,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735480/MOV000237114_700X466.webm
"가득,차다,가득히",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735407/MOV000240011_700X466.webm
"가라앉히다,냉각,가라앉다",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151124/215906/MOV000237118_700X466.webm
"가락지,반지",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632236/MOV000241380_700X466.webm
"가렵다,긁다",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764376/MOV000249510_700X466.webm
"가령,만약",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200812/728258/MOV000249512_700X466.webm
가로채다,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001933/MOV000359510_700X466.webm
